Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Haiti,HTI,2010,6.571247893,,67.85195936,18700,,,,2990,,1330,,,20.21938997,2357901515,,39.91291727,0.110560342,1100000,,626875,977.5,85.19,34.02000046,17.03000069,48.08000183,,,87.02,13.72931785,3783.8,27560,641290,96.33,10.15965167,26163.41602,1.506136533,405.5688477,5222497,52.491,-0.319527447,1.049246083,27750
IDA only,IDX,2012,31.17241679,,38.37302508,7907374.24,,,,579850,,331270,5.960837085,2.21910702,24.06920222,2.05902E+11,,9.548016673,0.203281483,,,212614686,1999.903104,0.188777846,58.23393549,63.84298782,54.34023607,402.6590507,23.35021227,0.200822015,26.10509315,5379371.072,20617482.97,106312552,0.190986237,1.222533172,,,,649336875,68.4723572,1.591229455,,21087014.56
IDA only,IDX,2013,31.27891856,,38.53425922,7940574.2,,,,589650,,337850,,2.345151941,22.78649103,2.17231E+11,,9.665209832,0.201353224,,,217085262,1935.52527,0.196153487,57.64032747,63.20792129,53.7627801,405.9847011,23.2195561,0.207766987,25.93181871,5343648.348,20617418.33,112158321,0.195283679,1.244415262,,,,659551708,68.05335415,1.573117652,,21087010.4
Isle of Man,IMN,2017,100,,68.59649123,391,,,,,,,,,0.400506349,27953667.95,,40.35087719,0.275086712,23000,,,,,,,,,,,6.070175439,34.6,570,,,,,,,39750,47.542,0.135941415,,570
Israel,ISR,2013,100,31.8854507,24.04343808,5203,,,,550,,920,0.624645793,1.025195881,1.260969975,3690766529,,13.20702403,0.035461257,285800,,336558,4177.1,103.65,1.24000001,0.680000007,1.74000001,3.569440531,296.0111966,96.3,7.421441774,1606,21640,80572,91.08,4.366913124,,,,642262,7.969,0.97914675,,22070
Kiribati,KIR,2013,75.36055477,,41.97530864,340,,,,10,,0,3.068847148,0.962107635,23.04775713,42664607.07,,2.469135802,0.018537915,2000,,,,100.01,,,,,,99.77,1.456790123,11.8,810,,97.55,39.50617284,,,,54022,50.073,-0.247739963,,810
Nicaragua,NIC,2019,71.41772373,,,,,,,,,,0.857058221,1.171343616,15.42787374,1945642887,,,,,,,,,30.60000038,8.229999542,44.65000153,,,,29.14683397,35075.3,120340,,,,,,,2699365,41.24,0.654289188,,
"Korea, Dem. People's Rep.",PRK,2011,35.21941322,,21.8420397,26300,,,,4020,,1370,,,,,,19.51665144,0.095244302,2350000,,4694508,3586.3,93.68,46.72999954,51.16999817,42.68000031,,,94.96,51.66647288,62211.6,120410,1309000,100.58,1.910140354,,,,9731926,39.443,0.050763371,,120540
"Korea, Dem. People's Rep.",PRK,2015,48.72869333,,21.8420397,26300,,,,3530,,1370,,,,,,19.51665144,0.093313837,2350000,,5488519,4458.3,100.13,45.27000046,49.27999878,41.63999939,,,100.02,50.96121585,61362.4,120410,1231074,99.53,1.910140354,,,,9751935,38.723,0.040533504,,120540
Pacific island small states,PSS,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.45310065,43933.2,64200,,,,,,,1536142,60.74211248,1.048943689,,
Trinidad and Tobago,TTO,2018,100,,10.52631579,540,,,,90,,210,,,1.039343363,246115673.2,,4.873294347,0.017987669,25000,,3367,1987.2,101.58,3.109999895,1.389999986,4.380000114,1.380658294,364,107.67,44.64522417,2290.3,5130,1694,109.96,4.288499025,,,,650668,46.816,0.461667611,,5130
Uganda,UGA,2020,,,,,,,,,,,2.428805643,1.487401574,24.02821224,8979831300,,,,,,,,,,,,,,,11.65918612,23379,200520,,,,,,,34326791,75.046,2.482637057,,
Kosovo,XKX,2011,100,,,,,,,,,,,,12.75729567,854955456.6,,,,,,,,,,,,,,,,,10887,,,,,,,,,,,10887
Andorra,AND,2019,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04255319,160,470,,,,,,,9270,12.016,0.83410547,,
Bosnia and Herzegovina,BIH,2016,100,,43.14453125,22090,,,,1540,,1200,7.075545849,1.542723265,6.369381022,1077274475,,20.0390625,0.30298887,1026000,,1657556,5191.7,118.2,17.95999908,17.77000046,18.06999969,252.2930867,107.9054581,112.09,42.50996094,21765.1,51200,319268,100.09,2.03125,,,,1777179,52.482,-1.919916485,,51210
France,FRA,2014,100,,52.536083,287665,,,,42900,,32890,0.977679044,1.174472954,1.55635616,44389857505,,33.4816284,0.276467027,18333100,,72579315,7556,104.97,2.849999905,1.659999967,3.930000067,605.5398852,168.4267254,102.5,30.59517091,167526,547557,9605505,99.19,1.817527673,,,,13664265,20.606,-0.775374197,,549087
"Iran, Islamic Rep.",IRN,2019,100,,,,,,,,,,,,12.18187982,31459156161,,,,,,,,,17.37000084,18.79000092,17.05999947,,,,6.596103784,107434.7,1628760,,,,,,,20404280,24.609,-0.631238284,,
Least developed countries: UN classification,LDC,2014,28.38795222,,38.06804476,7755728.26,,,,582310,,340060,2.561433393,,21.09072524,1.99318E+11,,9.169764435,0.199220872,,,214386029,1967.142487,0.214501907,58.68506143,64.72488609,54.32818465,443.0914757,24.78859064,0.224146917,27.43288001,5588991.084,20373329.68,108983322,0.205125344,0.81917752,,,,629771479,68.51128723,1.633372123,,20785584.57
Malta,MLT,2013,100,36.16813294,31.96875,102.3,,,,60,,40,0.110045693,0.331739327,1.069855256,112887501.7,,28.03125,0.021057969,8970,,13974,4668.6,100.98,1.25999999,0.479999989,1.74000001,,395.9810479,101.57,1.09375,3.5,320,2993,102.07,3.9375,,,,24370,5.721,0.225942378,,320
North America,NAC,2014,100,,25.51121113,4620862,,,,216260,,212870,2.726490295,0.984056857,1.22152476,2.3646E+11,,10.71776702,0.54856651,,,494532591,6856.759275,0.161289171,1.389035255,0.740111819,1.943399291,81.96023889,126.4398793,0.182557382,36.27094842,6569780.1,18113064,72123514,0.151060999,0.158946525,,,,65611456,18.54012805,-0.149489379,,19715550
South Sudan,SSD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32565515,71570,631928.123,,,,,,,8932708,79.801,0.807531961,,
Togo,TGO,2017,19.45706264,,70.2334988,38200,,,,1450,,1390,9.482918534,1.487698299,20.63860852,1319936548,34.08071749,48.72219158,0.344223974,2650000,1168,1301069,1139.2,103.79,33.79000092,28.48999977,39.13999939,,5.779388679,103.08,22.39658025,12181.5,54390,1142113,101.37,3.125574554,,,,4529629,58.838,1.575834767,,56790
South Africa,ZAF,2018,78.65895513,,79.41785028,963410,,,,15600,,14420,2.322444548,1.013267725,2.176019651,8014039701,,9.892093744,0.207639328,12000000,,14971922,4933.5,110.36,5.159999847,3.880000114,6.170000076,238.147139,72.83333333,103.62,14.11510275,171228.9,1213090,3034761,97.59,0.340452893,,,,19444293,33.645,-0.126111714,,1219090
Africa Eastern and Southern,AFE,2012,20.52535278,,43.62191273,6459157.24,,,,333710,,242050,,0.909470182,12.37948889,1.0891E+11,84.51581976,8.144944192,0.214854009,,,75820209,1663.9937,0.189134248,62.19352987,66.05112918,58.82891057,410.9479652,18.18200207,0.193987058,31.97249225,4734211.36,14807138.97,45565262,0.183062059,0.695283604,,,,366421044,66.92831284,2.107196785,,15121164.56
Bosnia and Herzegovina,BIH,2018,100,,43.18359375,22110,,,,1480,,1080,5.264775119,1.152287948,5.885436755,1187887749,,20.09765625,0.309573399,1029000,,1743762,5487.9,127.78,15.72999954,16.05999947,15.52000046,182.4279864,84.7627794,115.14,42.73261719,21879.1,51200,317749,90.5,1.953125,,,,1720299,51.755,-1.537558703,,51210
Central Europe and the Baltics,CEB,2019,100,,,,,,,,,,1.349644192,1.37206213,2.724837498,46068189125,,,,,,,,,9.274438519,7.955584085,10.35477148,,,,34.49213499,381574.9,1106266.4,,,,,,,38462796,37.56186079,-0.413435441,,
Switzerland,CHE,2015,100,,38.438416,15189.336,,,,3950,,1710,0.171210145,0.58655363,0.619280783,4348277422,,10.08195408,0.048101878,398398.8,,910072,6431.5,96.5,3.440000057,2.869999886,3.930000067,,208.9335359,99.43,31.68106715,12519.1,39516.03,141503,100.28,0.627950227,,,,2176779,26.282,1.054660953,,41290.39
Channel Islands,CHI,2014,100,3.571428571,48.08080808,95.2,,,,,,,,,,,,21.06060606,0.025410251,4170,,,,,3.059999943,2,3.890000105,,,,5.151515152,10.2,198,,,,,,,113242,69.005,0.699176512,,198
Curacao,CUW,2012,100,,,,,,,,,,,,0.249933002,7825642.458,,,,,,,,,,,,,,,0.157657658,0.7,444,,,,,,,15735,10.346,2.009246911,,444
Early-demographic dividend,EAR,2019,87.3103896,,,,,,,,,,1.291543111,1.627343893,9.646186417,1.20431E+12,,,,,,,,,34.57470741,37.38431876,33.38931195,,,,22.8435833,7610957.1,33317702.39,,,,,,,1791865989,54.45919457,0.531111302,,
Spain,ESP,2011,100,12.11964167,54.04096983,270140,,,,22950,,14850,,,2.373272994,35095316081,,24.86396735,0.2659025,12429000,,22097143,3691.8,100.85,4.099999905,2.390000105,5.489999771,95.72401335,122.6164615,98.61,37.10192046,185465.08,499880,5985488,94.71,9.128190766,,,,9968815,21.327,-0.721967135,,505600
Jordan,JOR,2014,99.08577738,9.868421053,11.98468123,10640,,,,560,,580,0.278647255,1.166017597,3.968444574,1462278310,,2.675152061,0.026629077,237500,,90747,1455.4,90.72,2.980000019,1,3.349999905,1.238389221,92.56842105,94.2,1.09822032,975,88780,62353,100.2,0.951790944,,,,891882,10,-3.801544695,,89320
Kenya,KEN,2012,27.27858444,,48.72263415,277300,,,,26360,,15460,,,26.1699503,13192992894,59.26041019,10.3665179,0.133052288,5900000,630,4711585,1744.8,96.27,59.22000122,65.36000061,53.54000092,,34.39270847,96.04,6.28802755,35787.68,569140,2700291,94.28,0.931229574,,,,33534305,75.624,2.126063354,,580370
St. Martin (French part),MAF,2019,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,12.4,50,,,,,,,,,,,
Northern Mariana Islands,MNP,2015,100,,6.52173913,30,,,,,,,,,,,,2.173913043,0.017927894,1000,,,,,,,,,,,64.10869565,294.9,460,,,2.173913043,,,,4821,8.643,-0.103659178,,460
North America,NAC,2015,100,,25.54531911,4627040,,,,215820,,211730,2.766703905,0.944861313,1.118441537,2.19503E+11,,10.76170216,0.546769976,,,485433788,6679.094256,,1.461492545,0.788724685,2.039927789,77.39932908,123.1515925,,36.28385071,6572117.1,18113064,72679347,,0.158946525,,,,65479332,18.36690631,-0.20137337,,19715550
Qatar,QAT,2015,100,16.22418879,5.90078329,678,,,,250,,150,0.007622889,0.481512232,0.161318389,260916291.2,,1.331592689,0.005963266,15300,,1801,5845.8,99.85,1.230000019,0.01,1.419999957,0.113372258,209.1503268,109.43,0,0,11490,308,116.29,0.217580505,,,,27068,1.055,-2.804977544,,11490
"Venezuela, RB",VEN,2019,100,,,,,,,,,,,,,,,,,,,,,,7.860000134,0.920000017,12.27000046,,,,52.45961113,462720,882050,,,,,,,3353461,11.76,-1.565396775,,
Zimbabwe,ZWE,2014,7.69180817,,41.87669639,162000,,,,5890,,4300,3.75191558,0.382294695,8.745304229,1704942500,,10.33992504,0.294405342,4000000,,1210469,824.4,109.23,67.23999786,71.62000275,62.75999832,132.3410014,24.45,102.92,45.80845289,177210,386850,1468270,96.72,0.258498126,,,,9170486,67.496,1.977221279,,390760
Angola,AGO,2016,,,44.79215529,558423.8,,,,18120,,17570,0.233867804,0.5528876,9.831168609,9941656304,,3.930376193,0.169888292,4900000,,2423924,779.9,103.36,51.15000153,57.52000046,44.79999924,,7.241269388,103.02,55.20784471,688276.2,1246700,3107989,101.34,0.236624689,,,,10340318,35.851,1.436354022,,1246700
Brazil,BRA,2015,98.23240924,,28.16873132,2354382,,,,337890,,159070,4.712158073,1.065563041,4.319132751,77840031260,,6.522743098,0.266628508,54518000,,106027826,5000.4,102.68,10.19999981,5.019999981,13.94999981,402.5328537,234.9650836,101.8,60.28671451,5038848,8358140,21203747,100.21,1.013263717,,,,29096331,14.23,-1.095943099,,8515770
China,CHN,2010,99.40914641,,56.12027552,5289168,,,,346060,,349350,0.472463696,3.774567794,9.325176941,5.67639E+11,,12.87784131,0.090729869,121369800,,497920509,5526.1,87.09,36.70000076,33.36999893,39.34999847,93.47178232,424.4187755,89.15,21.2855969,2006103.8,9424700.7,90102668,93.59,1.561428895,8868577,0.907172261,83906.6875,679206337,50.774,-2.133474239,2.350330403,9600000.7
Curacao,CUW,2013,100,,,,,,,,,,,,0.366553886,11537709.5,,,,,,,,,,,,,,,0.157657658,0.7,444,,,,,,,16084,10.456,2.193745852,,444
Algeria,DZA,2013,97.32220438,2.629633129,17.39553226,414316.35,,,,6560,,5250,0.012085987,1.461473532,9.851117128,20663211051,,3.147362852,0.196543615,7496200,,4912551,1813.1,119.59,10.59000015,3.319999933,12.15999985,175.6784969,22.45137536,112.08,0.814866442,19408,2381740,2709432,94.05,0.394249582,,,,11603755,30.424,-0.146655245,,2381740
Eritrea,ERI,2017,32.58824128,,75.16831683,75920,,,,2980,,1600,,,,,94.50171821,6.831683168,0.20217446,690000,384,305471,644.5,101.42,64.88999939,70.41000366,60.18999863,,2.571536232,101.65,10.5419802,10647.4,101000,473966,101.77,0.01980198,,,,,,,,117600
Indonesia,IDN,2018,96.81340796,,33.18208764,623000,,,,115040,,85200,5.094333758,2.889392447,12.80849756,1.33499E+11,,14.00784759,0.098255113,26300000,,113290938,5226.7,109.06,29.62999916,27.52000046,31,132.2064644,236.4423133,108.9,49.71681778,933442.7,1877519,21675360,109.49,13.31544448,,,,119581818,44.675,-0.345256883,,1916862.2
"Iran, Islamic Rep.",IRN,2010,99.02056768,16.90137819,28.57351605,465394,,,,21600,,18900,0.315030679,2.338581498,6.499390726,31639529002,,9.448905916,0.208642549,15390000,,19597231,2173.5,89.66,19.21999931,27.95999908,17.46999931,101.2681349,90.24886485,90.31,6.564490778,106919.8,1628760,9016254,92.06,1.026793389,1545056.125,0.791814999,12782.26074,21667002,29.374,-0.816484983,0.51580329,1745150
Least developed countries: UN classification,LDC,2015,29.69478837,,38.13690635,7769776.599,,,,593300,,347020,1.897202555,2.28649763,20.82008322,1.97285E+11,,9.194923985,0.195098571,,,208847111,2047.254991,,57.95246093,63.96345216,53.58631012,470.7416055,25.31021294,,27.24013335,5549735.7,20373379.34,102012974,,0.824120117,,,,639957349,67.99873082,1.617391441,,20785584.08
Montenegro,MNE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.48698885,8270,13450,,,,,,,202133,32.512,-1.083980117,,
Northern Mariana Islands,MNP,2013,100,,6.52173913,30,,,,,,,,,,,,2.173913043,0.018252838,1000,,,,,,,,,,,64.83043478,298.22,460,,,2.173913043,,,,4827,8.81,-0.041425021,,460
Sudan,SDN,2015,31.30743685,,36.87031418,681861.6,,,,46790,,26940,,,32.25833798,20793247814,,10.71898076,0.509554186,19823160,,4088600,569.9,84.54,41.25,57.13999939,35.91999817,,4.532314727,91.52,10.3873888,192099.3,1849351.206,7174020,99.79,0.090842669,,,,25717183,66.106,2.097574992,,1854105.787
Tuvalu,TUV,2012,96.16587664,,60,18,,,,10,,0,,,20.49671004,7721474.425,,,,,,,,96.94,,,,,,96.94,33.33333333,10,30,,96.95,60,,,,4640,43.185,-1.199671629,,30
Gibraltar,GIB,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,0,0,,,
Mozambique,MOZ,2019,4.936479851,,,,,,,,,,,,26.02672382,3979862993,,,,,,,,,70.22000122,79.77999878,59.81999969,,,,47.00794781,369661.1,786380,,,,,,,19273935,63.472,2.059833404,,
"Congo, Rep.",COG,2019,12.6721083,,,,,,,,,,5.706617604,1.150280789,7.679694463,974826850.8,,,,,,,,,33.52999878,32.04000092,34.95000076,,,,64.30746706,219610,341500,,,,,,,1755497,32.627,1.171865805,,
Cabo Verde,CPV,2011,62.08396827,,19.35483871,780,,,,60,,60,0.000467085,1.014651352,7.84317609,146347041.8,,12.40694789,0.100228923,50000,,5569,177.8,103.2,16.03000069,10.03999996,20.12000084,,,98.85,10.67493797,430.2,4030,31318,92.13,0.744416873,,,,187960,37.678,-0.067544751,,4030
Cayman Islands,CYM,2010,100,,11.25,27,,,,,,,,,0.312850352,13005160.21,,0.833333333,0.00352908,200,,,,94.17,,,,,,95.74,53,127.2,240,,102.13,2.083333333,64.61621094,3.191453315,7.19938612,0,0,,1.582866055,264
Ethiopia,ETH,2012,23.69378531,,32.31287375,364880,,,,59840,,38230,1.836231526,0.548538864,44.33094275,19200051116,91.00303853,13.59003948,0.165496597,15346000,848,19651152,2046.8,82.74,72.11000061,65.23000336,77.88999939,,30.58634889,87.89,15.63261905,176525,1129209.376,9601039,96.97,1.011327061,,,,75887762,81.84,2.311665346,,1136265.636
Georgia,GEO,2014,100,,34.76759246,24160,,,,1420,,1290,0.964498684,0.743585825,8.52621771,1502916690,,5.252554324,0.098133738,365000,,378206,2032.8,100.8,46.06000137,49.04999924,43.45000076,29.54758056,159.3868219,100.3,40.61591596,28224,69490,186050,99.42,1.582961577,,,,1596856,42.933,-0.838876895,,69700
Heavily indebted poor countries (HIPC),HPC,2011,13.11748451,,37.25715524,7212005,,,,391710,,253640,5.523328525,0.91539696,25.08808826,1.33204E+11,,8.274080554,0.249507863,,,88964259,1339.772938,6.942050845,63.07940876,65.00101686,61.52474689,2124.4749,10.89229832,11.68250818,28.68790678,5553223.96,19357368.95,66402440,21.30390425,1.098041787,,,,430630844,67.08467111,2.158776566,,19773867.67
Libya,LBY,2011,7.912708017,,8.724439342,153510,,,,1580,,1370,,,,,,0.975254896,0.274672594,1716000,,275210,664.5,96.92,20.44000053,22.77000046,19.35000038,42.5846,18.61215035,104.53,0.123327688,2170,1759540,414184,118.55,0.19039067,,,,1357131,21.723,-0.230588589,,1759540
Mozambique,MOZ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72519647,367437.6,786380,,,,,,,19667795,62.926,2.022886147,,
Mauritania,MRT,2011,,,38.47967401,396610,,,,5590,,2730,0.020737276,0.474208565,14.51589474,981947395.8,,0.388085767,0.111152917,400000,,199092,1374.5,72.44,35.36999893,27.62000084,38.68000031,,,87.29,0.351023576,3618,1030700,144844,90.38,0.010672359,,,,1889541,52.507,1.236429327,,1030700
Mauritius,MUS,2015,99.36358204,19.30232558,42.36453202,860,,,,20,,110,0.348322627,2.33771704,3.153993847,368774014.7,,36.94581281,0.059401,75000,,1108,2695.9,100.44,6.909999847,5.190000057,7.949999809,,183.8361333,100.31,18.86699507,383,2030,411,99.88,1.97044335,,,,744937,59,0.320809586,,2040
Nauru,NRU,2015,100,,20,4,,,,0,,0,,,4.196069032,3641317.913,,,,,,,,99.98,,,,,,99.91,0,0,20,,99.61,20,,,,0,0,,,20
Slovenia,SVN,2018,100,0.522875817,30.39272164,6120,,,,1060,,560,1.930154671,2.503415787,2.243521207,1214534411,,9.027432908,0.087651539,181780,,600948,6052.4,102.62,5.480000019,4.949999809,5.929999828,,261.7559688,102.88,61.67438072,12419,20136.4,99291,103.03,2.680220894,,,,942771,45.459,-0.22525157,,20480
Sweden,SWE,2013,100,1.702811772,7.482447096,30479,,,,3480,,3770,3.844448264,1.399113735,1.466540019,8606270163,,6.382874257,0.270822641,2600000,,4985200,5123.5,88.69,2.029999971,0.980000019,2.99000001,,84.30115385,93.26,68.78087102,280172,407340,973014,96.37,0.012274758,,,,1350197,14.064,-1.374676265,,447420
Turkmenistan,TKM,2013,99.7668649,,72.00646905,338380,,,,6390,,2790,,,8.474394207,3321754386,,4.128274424,0.361510263,1940000,,1814000,1217.7,103.5,26.46999931,24.64999962,27.78000069,,,101.46,8.782159045,41270,469930,1489665,100.17,0.12767859,,,,2707820,50.459,1.129285331,,488100
Vietnam,VNM,2013,97.85029756,,35.00112878,108528,,,,49980,,20890,3.197090751,3.29019353,17.96358637,30757616362,,20.71403232,0.070772633,6422800,,49231389,5425.5,96.34,46.81000137,48.77999878,44.99000168,216.8903566,483.8578424,95.59,44.48137517,137923.4,310070,9074053,92.09,12.21659625,,,,61322435,67.571,0.056140402,,330972
World,WLD,2018,80.93901055,,36.90352074,47953427.48,,,,3513570,,2296270,1.461650966,1.476456618,3.318473235,3.387E+12,,10.82516976,0.18422844,,,2964932598,4070.667048,,27.22024057,25.77965534,28.14098617,90.37083247,136.8242318,,,,129949282.7,728365199,,1.320326591,,,,3395164032,44.72828991,0.103956076,,134542704.1
Samoa,WSM,2018,99.99417599,,26.74911661,757,,,,150,,50,0.226798352,2.691844955,9.76989144,80259273.69,,11.48409894,0.165708109,32500,,,,100.68,30.85000038,6.900000095,43.11999893,,1.121538462,101.03,57.4664311,1626.3,2830,,102.82,10.98939929,,,,160348,81.757,0.648818671,,2840
Kuwait,KWT,2018,100,,8.417508418,1500,,,,190,,330,0.046620996,0.504759321,0.447338716,618143376.5,,0.448933782,0.001933622,8000,,11216,10482.2,98.28,1.860000014,0.029999999,2.450000048,1.664213627,1059.48,126.01,0.350729517,62.5,17820,1070,147.33,0.336700337,,,,0,0,,,17820
Afghanistan,AFG,2013,61.31578819,5.518332894,58.06757957,379100,,,,11280,,4440,0.036992232,,22.81066274,4690116232,,11.92445547,0.241248789,7785000,,6520329,2048.5,93.11,49.81999969,69.98999786,45.88000107,220.5763941,4.882714194,94.08,1.850994088,12084.4,652860,3182922,95.89,0.191465245,,,,24404524,75.627,3.213341278,,652860
Argentina,ARG,2015,99.42528573,,54.33571212,1487000,,,,81570,,40760,0.987528538,0.999527353,5.156685902,30669352554,,14.323873,0.908838702,39200000,,55979853,4779.3,104.56,0.25999999,0.07,0.389999986,212.515123,27.27674974,104.15,10.63218706,290970,2736690,11712970,103.23,0.365404923,,,,3664923,8.497,-0.393992379,,2780400
Bhutan,BTN,2015,92.78933524,,13.78912296,5256,,,,420,,100,,,14.43686801,289256829.5,,2.628748328,0.137659108,100200,,175624,3476.5,96.52,58,66.30000305,52.29000092,,14.76057884,96.89,71.23278327,27151.8,38117,50518,97.49,0.325314164,,,,446354,61.322,-0.010753218,,38394
Central African Republic,CAF,2010,,,8.154354875,50800,,,,9630,,8740,35.88720246,2.090555165,37.3635796,800548895.3,,2.889338342,0.410325148,1800000,,249000,1447.4,103.85,72.51000214,75.88999939,69.66000366,,0.299816667,95.93,36.28206363,226030,622980,172033,88.37,0.128415037,,,,2680138,61.096,0.783431087,,622980
Djibouti,DJI,2014,21.0384236,,73.4253667,17020,,,,470,,250,,,1.227403863,27183087.18,,0.086281277,0.002225419,2000,,16,1992.8,97.38,29.19000053,27.11000061,30.52000046,,,102.56,0.241587575,56,23180,8,104.34,,,,,203881,22.686,1.325196273,,23200
Early-demographic dividend,EAR,2018,84.71061856,,41.23995599,13737723.16,,,,1446930,,746630,1.241673204,1.63858025,9.322948773,1.13067E+12,,13.05386143,0.134052691,,,896865652,3535.23723,,35.23908551,38.16063523,34.01259797,121.0910228,134.4571019,,22.90970821,7632988.4,33317702.39,253693363,,2.22255718,,,,1782399464,54.86984384,0.566665912,,34144822.61
